buying_price,maintenance_price,number_doors,capacity,luggage_boot_size,safety_level,class
very_high,very_high,two,two,small,low,unacceptable
very_high,very_high,two,two,small,medium,unacceptable
very_high,very_high,two,two,small,high,unacceptable
very_high,very_high,two,two,medium,low,unacceptable
very_high,very_high,two,two,medium,medium,unacceptable
very_high,very_high,two,two,medium,high,unacceptable
very_high,very_high,two,two,large,low,unacceptable
very_high,very_high,two,two,large,medium,unacceptable
very_high,very_high,two,two,large,high,unacceptable
very_high,very_high,two,four,small,low,unacceptable
very_high,very_high,two,four,small,medium,unacceptable
very_high,very_high,two,four,small,high,unacceptable
very_high,very_high,two,four,medium,low,unacceptable
very_high,very_high,two,four,medium,medium,unacceptable
very_high,very_high,two,four,medium,high,unacceptable
very_high,very_high,two,four,large,low,unacceptable
very_high,very_high,two,four,large,medium,unacceptable
very_high,very_high,two,four,large,high,unacceptable
very_high,very_high,two,5_or_more,small,low,unacceptable
very_high,very_high,two,5_or_more,small,medium,unacceptable
very_high,very_high,two,5_or_more,small,high,unacceptable
very_high,very_high,two,5_or_more,medium,low,unacceptable
very_high,very_high,two,5_or_more,medium,medium,unacceptable
very_high,very_high,two,5_or_more,medium,high,unacceptable
very_high,very_high,two,5_or_more,large,low,unacceptable
very_high,very_high,two,5_or_more,large,medium,unacceptable
very_high,very_high,two,5_or_more,large,high,unacceptable
very_high,very_high,three,two,small,low,unacceptable
very_high,very_high,three,two,small,medium,unacceptable
very_high,very_high,three,two,small,high,unacceptable
very_high,very_high,three,two,medium,low,unacceptable
very_high,very_high,three,two,medium,medium,unacceptable
very_high,very_high,three,two,medium,high,unacceptable
very_high,very_high,three,two,large,low,unacceptable
very_high,very_high,three,two,large,medium,unacceptable
very_high,very_high,three,two,large,high,unacceptable
very_high,very_high,three,four,small,low,unacceptable
very_high,very_high,three,four,small,medium,unacceptable
very_high,very_high,three,four,small,high,unacceptable
very_high,very_high,three,four,medium,low,unacceptable
very_high,very_high,three,four,medium,medium,unacceptable
very_high,very_high,three,four,medium,high,unacceptable
very_high,very_high,three,four,large,low,unacceptable
very_high,very_high,three,four,large,medium,unacceptable
very_high,very_high,three,four,large,high,unacceptable
very_high,very_high,three,5_or_more,small,low,unacceptable
very_high,very_high,three,5_or_more,small,medium,unacceptable
very_high,very_high,three,5_or_more,small,high,unacceptable
very_high,very_high,three,5_or_more,medium,low,unacceptable
very_high,very_high,three,5_or_more,medium,medium,unacceptable
very_high,very_high,three,5_or_more,medium,high,unacceptable
very_high,very_high,three,5_or_more,large,low,unacceptable
very_high,very_high,three,5_or_more,large,medium,unacceptable
very_high,very_high,three,5_or_more,large,high,unacceptable
very_high,very_high,four,two,small,low,unacceptable
very_high,very_high,four,two,small,medium,unacceptable
very_high,very_high,four,two,small,high,unacceptable
very_high,very_high,four,two,medium,low,unacceptable
very_high,very_high,four,two,medium,medium,unacceptable
very_high,very_high,four,two,medium,high,unacceptable
very_high,very_high,four,two,large,low,unacceptable
very_high,very_high,four,two,large,medium,unacceptable
very_high,very_high,four,two,large,high,unacceptable
very_high,very_high,four,four,small,low,unacceptable
very_high,very_high,four,four,small,medium,unacceptable
very_high,very_high,four,four,small,high,unacceptable
very_high,very_high,four,four,medium,low,unacceptable
very_high,very_high,four,four,medium,medium,unacceptable
very_high,very_high,four,four,medium,high,unacceptable
very_high,very_high,four,four,large,low,unacceptable
very_high,very_high,four,four,large,medium,unacceptable
very_high,very_high,four,four,large,high,unacceptable
very_high,very_high,four,5_or_more,small,low,unacceptable
very_high,very_high,four,5_or_more,small,medium,unacceptable
very_high,very_high,four,5_or_more,small,high,unacceptable
very_high,very_high,four,5_or_more,medium,low,unacceptable
very_high,very_high,four,5_or_more,medium,medium,unacceptable
very_high,very_high,four,5_or_more,medium,high,unacceptable
very_high,very_high,four,5_or_more,large,low,unacceptable
very_high,very_high,four,5_or_more,large,medium,unacceptable
very_high,very_high,four,5_or_more,large,high,unacceptable
very_high,very_high,5_or_more,two,small,low,unacceptable
very_high,very_high,5_or_more,two,small,medium,unacceptable
very_high,very_high,5_or_more,two,small,high,unacceptable
very_high,very_high,5_or_more,two,medium,low,unacceptable
very_high,very_high,5_or_more,two,medium,medium,unacceptable
very_high,very_high,5_or_more,two,medium,high,unacceptable
very_high,very_high,5_or_more,two,large,low,unacceptable
very_high,very_high,5_or_more,two,large,medium,unacceptable
very_high,very_high,5_or_more,two,large,high,unacceptable
very_high,very_high,5_or_more,four,small,low,unacceptable
very_high,very_high,5_or_more,four,small,medium,unacceptable
very_high,very_high,5_or_more,four,small,high,unacceptable
very_high,very_high,5_or_more,four,medium,low,unacceptable
very_high,very_high,5_or_more,four,medium,medium,unacceptable
very_high,very_high,5_or_more,four,medium,high,unacceptable
very_high,very_high,5_or_more,four,large,low,unacceptable
very_high,very_high,5_or_more,four,large,medium,unacceptable
very_high,very_high,5_or_more,four,large,high,unacceptable
very_high,very_high,5_or_more,5_or_more,small,low,unacceptable
very_high,very_high,5_or_more,5_or_more,small,medium,unacceptable
very_high,very_high,5_or_more,5_or_more,small,high,unacceptable
very_high,very_high,5_or_more,5_or_more,medium,low,unacceptable
very_high,very_high,5_or_more,5_or_more,medium,medium,unacceptable
very_high,very_high,5_or_more,5_or_more,medium,high,unacceptable
very_high,very_high,5_or_more,5_or_more,large,low,unacceptable
very_high,very_high,5_or_more,5_or_more,large,medium,unacceptable
very_high,very_high,5_or_more,5_or_more,large,high,unacceptable
very_high,high,two,two,small,low,unacceptable
very_high,high,two,two,small,medium,unacceptable
very_high,high,two,two,small,high,unacceptable
very_high,high,two,two,medium,low,unacceptable
very_high,high,two,two,medium,medium,unacceptable
very_high,high,two,two,medium,high,unacceptable
very_high,high,two,two,large,low,unacceptable
very_high,high,two,two,large,medium,unacceptable
very_high,high,two,two,large,high,unacceptable
very_high,high,two,four,small,low,unacceptable
very_high,high,two,four,small,medium,unacceptable
